Code,"ID (NYT, cartogram)",Show it?,Tag it?,Official name,Lowercase name,Parents,Popularity,tag0,tag1,tag2,tag3,tag4,tag5,tag6,Part of,Code,Comment,Search string
western_europe,,1,0,Western Europe,Western Europe,3,0.13555,news,world,europe,,,,,,Cq,,
GBR,227,1,1,United Kingdom,United Kingdom,4,0.01351,news,world,europe,western_europe,,,,,Cr,,"""United Kingdom"" or england"
GGY,86,1,1,Guernsey,Guernsey,4,0.00011,news,world,europe,western_europe,GBR,,,GBR,Cs,63000 people,Guernsey
IMN,102,1,1,Isle of Man,Isle of Man,4,0.00007,news,world,europe,western_europe,GBR,,,GBR,Ct,84k people,"""isle of man"""
JEY,107,1,1,Jersey,Jersey,4,0.03779,news,world,europe,western_europe,GBR,,,GBR,Cu,"107k people, technically indep","""jersey"" AND (""european union"" OR ""united kingdom"" OR ""france"") OR ""island of jersey"""
AND,5,1,1,Andorra,Andorra,4,0.00016,news,world,europe,western_europe,,,,,Cv,,Andorra
AUT,15,1,1,Austria,Austria,4,0.00811,news,world,europe,western_europe,,,,,Cw,,Austria
BEL,22,1,1,Belgium,Belgium,4,0.00616,news,world,europe,western_europe,,,,,Cx,,Belgium
FRA,75,1,1,France,France,4,0.04865,news,world,europe,western_europe,,,,,Cy,,France
DEU,79,1,1,Germany,Germany,4,0.04008,news,world,europe,western_europe,,,,,Cz,,Germany
IRL,101,1,1,Ireland,Ireland,4,0.00771,news,world,europe,western_europe,,,,,Da,,Ireland
LIE,121,1,1,Liechtenstein,Liechtenstein,4,0.00022,news,world,europe,western_europe,,,,,Db,,Liechtenstein
LUX,123,1,1,Luxembourg,Luxembourg,4,0.00098,news,world,europe,western_europe,,,,,Dc,,Luxembourg
MCO,138,1,1,Monaco,Monaco,4,0.00095,news,world,europe,western_europe,,,,,Dd,,Monaco
NLD,150,1,1,Netherlands,Netherlands,4,0.00856,news,world,europe,western_europe,,,,,De,,Netherlands
CHE,208,1,1,Switzerland,Switzerland,4,0.00675,news,world,europe,western_europe,,,,,Df,,Switzerland
eastern_europe,,1,0,Eastern Europe,Eastern Europe,3,0.06338,news,world,europe,,,,,,Dg,,
BLR,21,1,1,Belarus,Belarus,4,0.00155,news,world,europe,eastern_europe,,,,,Dh,,Belarus
CZE,55,1,1,Czechia,Czechia,4,0.00011,news,world,europe,eastern_europe,,,,,Di,,"""cote d'ivorie"" OR ""ivory coast"""
EST,67,1,1,Estonia,Estonia,4,0.00066,news,world,europe,eastern_europe,,,,,Dj,,Estonia
HUN,94,1,1,Hungary,Hungary,4,0.00332,news,world,europe,eastern_europe,,,,,Dk,,Hungary
LVA,116,1,1,Latvia,Latvia,4,0.00062,news,world,europe,eastern_europe,,,,,Dl,,Latvia
LTU,122,1,1,Lithuania,Lithuania,4,0.00085,news,world,europe,eastern_europe,,,,,Dm,,Lithuania
MDA,137,1,1,Moldova,Moldova,4,0.00023,news,world,europe,eastern_europe,,,,,Dn,,Moldova
POL,170,1,1,Poland,Poland,4,0.00472,news,world,europe,eastern_europe,,,,,Do,,Poland
ROU,174,1,1,Romania,Romania,4,0.00167,news,world,europe,eastern_europe,,,,,Dp,,Romania
RUS,175,1,1,Russia,Russia,4,0.05092,news,world,europe,eastern_europe,,,,,Dq,,Russia
UKR,225,1,1,Ukraine,Ukraine,4,0.00822,news,world,europe,eastern_europe,,,,,Dr,,Ukraine
balkans,,1,0,Balkans,Balkans,3,0.00657,news,world,europe,,,,,,Ds,,
ALB,2,1,1,Albania,Albania,4,0.00088,news,world,europe,balkans,,,,,Dt,,Albania
BIH,28,1,1,Bosnia and Herzegovina,Bosnia and Herzegovina,4,0.00002,news,world,europe,balkans,,,,,Du,,Bosnia Herzegovina
BGR,34,1,1,Bulgaria,Bulgaria,4,0.00116,news,world,europe,balkans,,,,,Dv,,Bulgaria
HRV,51,1,1,Croatia,Croatia,4,0.00100,news,world,europe,balkans,,,,,Dw,,Croatia
XKX,112,1,1,Kosovo,Kosovo,4,0.00079,news,world,europe,balkans,,,,,Dx,,Kosovo
MKD,125,1,1,Macedonia,Macedonia,4,0.00047,news,world,europe,balkans,,,,,Dy,,Macedonia
MNE,140,1,1,Montenegro,Montenegro,4,0.00032,news,world,europe,balkans,,,,,Dz,,Montenegro
SRB,185,1,1,Serbia,Serbia,4,0.00212,news,world,europe,balkans,,,,,Ea,,Serbia
SVK,191,1,1,Slovakia,Slovakia,4,0.00113,news,world,europe,balkans,,,,,Eb,,Slovakia
SVN,192,1,1,Slovenia,Slovenia,4,0.00061,news,world,europe,balkans,,,,,Ec,,Slovenia
southern_europe,,1,0,Southern Europe,Southern Europe,3,0.07827,news,world,europe,,,,,,Ed,,
GRC,81,1,1,Greece,Greece,4,0.00525,news,world,europe,southern_europe,,,,,Ee,,Greece
ITA,104,1,1,Italy,Italy,4,0.05925,news,world,europe,southern_europe,,,,,Ef,,Italy
MLT,131,1,1,Malta,Malta,4,0.00076,news,world,europe,southern_europe,,,,,Eg,,Malta
CYP,145,1,1,North Cyprus,North Cyprus,4,0.00002,news,world,europe,southern_europe,,,,,Eh,,"""north cyprus"""
PRT,171,1,1,Portugal,Portugal,4,0.00390,news,world,europe,southern_europe,,,,,Ei,,Portugal
SMR,182,1,1,San Marino,San Marino,4,0.00034,news,world,europe,southern_europe,,,,,Ej,,"""san marino"""
ESP,198,1,1,Spain,Spain,4,0.03621,news,world,europe,southern_europe,,,,,Ek,,Spain
VAT,232,1,1,Vatican,Vatican,4,0.00347,news,world,europe,southern_europe,,,,,El,,Vatican
asia,,1,0,Asia,Asia,2,0.34666,news,world,,,,,,,Em,,
middle_east,,1,0,Middle East,Middle East,3,0.08531,news,world,asia,,,,,,En,,
BHR,18,1,1,Bahrain,Bahrain,4,0.00104,news,world,asia,middle_east,,,,,Eo,,Bahrain
IRN,99,1,1,Iran,Iran,4,0.02391,news,world,asia,middle_east,,,,,Ep,,Iran
IRQ,100,1,1,Iraq,Iraq,4,0.01265,news,world,asia,middle_east,,,,,Eq,,Iraq
