Job No,Corpus,Model,Configuration,,FPR/article,FNR/article,TPR/article,TNR/article,FPR/tag,FNR/tag,Magic Number,Sum,Product,Date,0.1385ln(x)+y,,,,
,Spacey,DistillBERT + NN,"100%, 10 epochs [1024,1024]","[1024,1024] 10 epochs",,,,,1.26,0.326,,1.586,0.41076,,0.358008973353429,,,,
,,TF-IDF* + NN,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.05,,,,,1.53099745303901,0.169016390758297,,1.70001384379731,0.258763663772799,,0.228006235010028,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.1,,,,,0.923126733265751,0.225612215885831,,1.14873894915158,0.208268667835535,,0.214533774275161,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.2,,,,,0.525555203258204,0.300437196050498,,0.825992399308702,0.157896331636644,,0.211340139795031,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.3,,,,,0.354612589519501,0.357929146552224,,0.712541736071725,0.126926181523389,,0.21434212707138,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.4,,,,,0.253721078744412,0.410014573201683,,0.663735651946095,0.104029339813661,,0.22005909052559,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.5,,,,,0.184049563771526,0.459862663576373,,0.643912227347899,0.084637522626044,,0.225444462355169,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.6,,,,,0.131315116086939,0.512789138126859,,0.644104254213798,0.06733696520125,,0.231612618277826,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.7,,,,,0.089762884035125,0.571574664957776,,0.661337548992901,0.05130619036802,,0.237708821509491,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.8,,,,,0.054568378682934,0.643772300794455,,0.698340679477389,0.035129610695335,,0.240972652597715,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.9,,,,,0.024493101174341,0.749144438440503,,0.773637539614844,0.018348870524918,,0.235397554106559,,,,
,,,"100%, 100 epochs [1000,500] ReLU Adam 1e-5",0.95,,,,,0.010890453883036,0.834219782935212,,0.845110236818248,0.009085032074372,,0.208217972968057,,,,
,Spacey,doc2vec + NN,"20%, embed size 100, 100 epochs [400,200] ReLU Adam 1e-5","20%, 100[400,200] 100 epochs",0.253673432728579,1.69784444045266,,,0.104706020466652,0.700800761116515,,0.805506781583167,0.073378058836511,,0.388261846611011,,,,
,Spacey,doc2vec + NN,,0.3,,,,,0.298019979661422,0.580786026200873,,0.878806005862295,0.173085839716022,,0.413118653480923,,,,
,Spacey,doc2vec + NN,,0.4,,,,,0.176257701740742,0.64635550637076,,0.822613208111502,0.113925136060384,,0.405946078921943,,,,
